年月日,時間,気圧（現地）,気圧（海面）,降水量,気温,露点温度,蒸気圧,湿度,風速,風向,日照時間,全天日射量,降雪,積雪
1993-01-03,4,1015.6,1019.5,0,-2.8,-3.4,4.8,96.0,1.7,0,0,0,0,0
1993-01-03,5,1015.8,1019.7,0,-3.0,-3.6,4.7,96.0,1.4,0,0,0,0,0
1993-01-03,6,1015.8,1019.7,0,-3.2,-3.9,4.6,95.0,0.8,0,0,0,0,0
1993-01-03,7,1016.1,1020.0,0,-3.4,-4.0,4.5,96.0,1.1,0,0,0.01,0,0
1993-01-03,8,1016.6,1020.5,0,-1.1,-1.6,5.4,96.0,2.0,0,0.7,0.24,0,0
1993-01-03,9,1016.7,1020.5,0,3.0,1.4,6.8,89.0,2.0,0,1.0,0.74,0,0
1993-01-03,10,1015.7,1019.5,0,6.8,2.1,7.1,72.0,2.2,0,1.0,1.27,0,0
1993-01-03,11,1014.3,1018.0,0,9.6,2.1,7.1,59.0,1.6,0,1.0,1.64,0,0
1993-01-03,12,1012.7,1016.4,0,10.6,2.7,7.4,58.0,1.0,0,1.0,1.79,0,0
1993-01-03,13,1011.6,1015.3,0,12.0,2.3,7.2,51.0,1.9,0,1.0,1.72,0,0
1993-01-03,14,1010.7,1014.4,0,12.6,0.8,6.5,44.0,1.7,0,1.0,1.49,0,0
1993-01-03,15,1010.4,1014.1,0,12.4,0.1,6.2,43.0,1.6,0,1.0,1.02,0,0
1993-01-03,16,1010.2,1013.9,0,10.9,0.4,6.3,48.0,2.0,0,1.0,0.46,0,0
1993-01-03,17,1010.2,1014.0,0,6.1,0.7,6.4,68.0,1.4,0,0.1,0.06,0,0
1993-01-03,18,1009.9,1013.7,0,3.8,0.4,6.3,79.0,0.0,0,0,0.0,0,0
1993-01-03,19,1010.2,1014.0,0,2.5,-0.1,6.1,83.0,1.5,0,0,0,0,0
1993-01-03,20,1010.0,1013.8,0,2.0,-0.2,6.0,85.0,1.6,0,0,0,0,0
1993-01-03,21,1009.9,1013.7,0,1.0,-0.4,5.9,90.0,0.9,0,0,0,0,0
1993-01-03,22,1009.5,1013.3,0,0.1,-1.0,5.7,92.0,0.0,0,0,0,0,0
1993-01-03,23,1009.6,1013.4,0,0.8,-0.3,6.0,92.0,1.7,0,0,0,0,0
1993-01-03,24,1009.5,1013.3,0,1.1,-0.4,5.9,90.0,2.3,0,0,0,0,0
1993-01-04,1,1009.5,1013.3,0,1.2,-0.5,5.9,88.0,1.3,0,0,0,0,0
1993-01-04,2,1009.9,1013.7,0,0.8,-0.4,5.9,92.0,2.0,0,0,0,0,0
1993-01-04,3,1010.1,1013.9,0,1.3,-0.1,6.1,90.0,1.9,0,0,0,0,0
1993-01-04,4,1011.1,1014.9,0,1.3,-0.3,6.0,89.0,1.7,0,0,0,0,0
1993-01-04,5,1012.3,1016.2,0,-0.2,-1.5,5.5,91.0,1.5,0,0,0,0,0
1993-01-04,6,1013.3,1017.2,0,-1.0,-1.8,5.4,94.0,0.9,0,0,0,0,0
1993-01-04,7,1014.6,1018.5,0,-0.5,-1.7,5.4,92.0,1.9,0,0,0.01,0,0
1993-01-04,8,1016.2,1020.1,0,1.3,0.4,6.3,94.0,1.8,0,0.7,0.26,0,0
1993-01-04,9,1017.4,1021.2,0,5.4,0.5,6.3,71.0,2.3,0,1.0,0.69,0,0
1993-01-04,10,1017.8,1021.6,0,7.3,-0.4,5.9,58.0,1.7,0,1.0,1.09,0,0
1993-01-04,11,1017.4,1021.1,0,9.1,-1.9,5.3,46.0,1.6,0,1.0,1.43,0,0
1993-01-04,12,1016.6,1020.3,0,9.4,-2.4,5.1,43.0,1.3,0,0.8,1.27,0,0
1993-01-04,13,1016.4,1020.1,0,9.1,-2.8,5.0,43.0,1.2,0,0,0.9,0,0
1993-01-04,14,1016.2,1019.9,0,9.3,-2.4,5.1,44.0,2.8,0,0.2,0.89,0,0
1993-01-04,15,1016.9,1020.7,0,8.5,-2.8,5.0,45.0,2.4,0,0,0.45,0,0
1993-01-04,16,1017.0,1020.8,0,7.8,-2.4,5.1,48.0,2.8,0,0,0.13,0,0
1993-01-04,17,1017.5,1021.3,0,7.4,-1.9,5.3,52.0,2.3,0,0,0.02,0,0
1993-01-04,18,1017.8,1021.6,0,7.0,-1.5,5.5,55.0,2.5,0,0,0.0,0,0
1993-01-04,19,1018.0,1021.8,0.0,6.3,-2.2,5.2,55.0,2.2,0,0,0,0,0
1993-01-04,20,1018.3,1022.1,0.0,5.9,-2.6,5.1,54.0,2.4,0,0,0,0,0
1993-01-04,21,1018.5,1022.3,0.0,5.2,-2.9,4.9,56.0,2.7,0,0,0,0,0
1993-01-04,22,1018.7,1022.5,0.0,4.5,-1.3,5.6,66.0,2.5,0,0,0,0,0
1993-01-04,23,1017.7,1021.5,0.0,4.2,-1.1,5.6,68.0,3.2,0,0,0,0,0
1993-01-04,24,1017.7,1021.5,0.0,3.7,-1.1,5.6,71.0,2.1,0,0,0,0,0
1993-01-05,1,1016.6,1020.4,0.0,3.7,-2.0,5.3,66.0,2.0,0,0,0,0,0
1993-01-05,2,1016.9,1020.7,0,3.6,-2.4,5.1,65.0,1.7,0,0,0,0,0
1993-01-05,3,1016.2,1020.0,0,3.5,-2.5,5.1,65.0,1.2,0,0,0,0,0
1993-01-05,4,1015.7,1019.6,0,0.0,-2.8,5.0,81.0,1.1,0,0,0,0,0
1993-01-05,5,1015.9,1019.8,0,-1.6,-3.0,4.9,90.0,1.6,0,0,0,0,0
1993-01-05,6,1016.7,1020.6,0,-1.9,-2.9,4.9,93.0,1.7,0,0,0,0,0
1993-01-05,7,1017.1,1021.0,0,-2.5,-3.5,4.7,93.0,1.1,0,0,0.01,0,0
1993-01-05,8,1017.4,1021.3,0,-1.9,-3.3,4.8,90.0,0.3,0,0.1,0.17,0,0
1993-01-05,9,1017.8,1021.6,0,3.1,-3.4,4.8,62.0,2.0,0,1.0,0.81,0,0
1993-01-05,10,1017.9,1021.7,0,5.9,-4.2,4.5,48.0,2.6,0,1.0,1.37,0,0
1993-01-05,11,1017.1,1020.9,0,8.1,-5.2,4.2,38.0,4.3,0,1.0,1.72,0,0
1993-01-05,12,1016.4,1020.1,0,9.6,-6.3,3.8,32.0,5.1,0,1.0,1.9,0,0
1993-01-05,13,1016.1,1019.8,0,9.7,-8.6,3.2,27.0,5.6,0,1.0,1.84,0,0
1993-01-05,14,1016.4,1020.1,0,9.0,-9.5,3.0,26.0,6.8,0,1.0,1.57,0,0
1993-01-05,15,1017.1,1020.9,0,8.6,-9.4,3.0,27.0,7.2,0,1.0,1.11,0,0
1993-01-05,16,1017.8,1021.6,0,7.2,-8.2,3.3,33.0,4.5,0,1.0,0.53,0,0
1993-01-05,17,1018.9,1022.7,0,6.2,-7.3,3.5,37.0,4.9,0,0.3,0.07,0,0
1993-01-05,18,1020.3,1024.1,0,5.1,-6.7,3.7,42.0,4.3,0,0,0.0,0,0
1993-01-05,19,1021.2,1025.0,0,4.7,-8.2,3.3,39.0,5.5,0,0,0,0,0
1993-01-05,20,1022.1,1025.9,0,3.8,-9.8,2.9,36.0,3.2,0,0,0,0,0
1993-01-05,21,1023.2,1027.1,0,2.8,-9.8,2.9,39.0,3.9,0,0,0,0,0
1993-01-05,22,1023.9,1027.8,0,-0.7,-9.2,3.1,53.0,0.9,0,0,0,0,0
1993-01-05,23,1023.9,1027.8,0,-2.9,-9.4,3.0,61.0,1.4,0,0,0,0,0
1993-01-05,24,1023.9,1027.8,0,-3.1,-8.6,3.2,66.0,0.8,0,0,0,0,0
1993-01-06,1,1024.3,1028.3,0,-3.2,-8.8,3.2,65.0,2.6,0,0,0,0,0
1993-01-06,2,1024.8,1028.8,0,-3.7,-8.8,3.2,68.0,1.0,0,0,0,0,0
1993-01-06,3,1025.5,1029.5,0,-4.4,-8.4,3.3,74.0,0.6,0,0,0,0,0
1993-01-06,4,1026.0,1030.0,0,-4.1,-8.0,3.4,74.0,0.9,0,0,0,0,0
1993-01-06,5,1026.3,1030.3,0,-4.5,-7.9,3.4,77.0,1.3,0,0,0,0,0
1993-01-06,6,1027.3,1031.3,0,-5.2,-8.2,3.3,80.0,0.0,0,0,0,0,0
1993-01-06,7,1027.7,1031.7,0,-5.9,-8.4,3.3,82.0,1.6,0,0,0.01,0,0
1993-01-06,8,1028.4,1032.4,0,-2.5,-7.0,3.6,71.0,2.0,0,0.9,0.28,0,0
1993-01-06,9,1029.0,1032.9,0,0.5,-6.2,3.9,61.0,0.4,0,0.9,0.72,0,0
1993-01-06,10,1029.2,1033.1,0,4.2,-8.0,3.4,41.0,0.7,0,0.9,1.3,0,0
1993-01-06,11,1028.4,1032.2,0,5.9,-8.2,3.3,36.0,1.0,0,1.0,1.31,0,0
1993-01-06,12,1027.3,1031.1,0,6.0,-8.9,3.1,33.0,2.8,0,0.6,1.36,0,0
1993-01-06,13,1026.8,1030.6,0,6.6,-7.9,3.4,35.0,1.1,0,0.7,1.21,0,0
1993-01-06,14,1026.6,1030.4,0,6.9,-7.6,3.5,35.0,2.1,0,0.1,0.89,0,0
1993-01-06,15,1026.8,1030.6,0,6.9,-7.1,3.6,36.0,2.0,0,0,0.58,0,0
1993-01-06,16,1026.8,1030.6,0,6.6,-5.6,4.0,41.0,2.3,0,0,0.23,0,0
1993-01-06,17,1027.0,1030.8,0,5.5,-4.5,4.4,49.0,1.1,0,0,0.04,0,0
1993-01-06,18,1027.3,1031.2,0,3.4,-4.7,4.3,55.0,1.5,0,0,0.0,0,0
1993-01-06,19,1027.3,1031.1,0,4.9,-5.4,4.1,47.0,1.7,0,0,0,0,0
1993-01-06,20,1026.3,1030.1,0,4.9,-5.0,4.2,49.0,1.8,0,0,0,0,0
1993-01-06,21,1027.0,1030.9,0,3.3,-3.5,4.7,61.0,2.2,0,0,0,0,0
1993-01-06,22,1026.5,1030.4,0,3.6,-3.4,4.8,60.0,1.1,0,0,0,0,0
1993-01-06,23,1025.6,1029.5,0,3.0,-3.3,4.8,63.0,0.1,0,0,0,0,0
1993-01-06,24,1025.1,1028.9,0,4.0,-2.5,5.1,62.0,0.4,0,0,0,0,0
1993-01-07,1,1024.6,1028.4,0.0,3.8,-2.1,5.2,65.0,0.0,0,0,0,0,0
1993-01-07,2,1024.2,1028.1,0.0,3.3,-2.1,5.2,68.0,1.3,0,0,0,0,0
1993-01-07,3,1023.5,1027.3,0.0,3.7,-2.4,5.1,64.0,1.6,0,0,0,0,0
1993-01-07,4,1022.6,1026.4,0.0,3.5,-2.6,5.1,64.0,1.4,0,0,0,0,0
1993-01-07,5,1021.6,1025.4,0.0,3.3,-2.5,5.1,66.0,0.0,0,0,0,0,0
1993-01-07,6,1021.1,1024.9,0.0,3.1,-1.9,5.3,70.0,0.5,0,0,0,0,0
1993-01-07,7,1020.9,1024.7,0,3.3,-1.8,5.4,69.0,1.7,0,0,0.0,0,0
1993-01-07,8,1019.7,1023.5,0.0,3.5,-1.8,5.4,68.0,0.9,0,0,0.03,0,0
1993-01-07,9,1019.5,1023.3,0.0,3.6,0.1,6.2,78.0,1.5,0,0,0.07,0,0
1993-01-07,10,1018.2,1022.0,1.0,2.7,1.8,7.0,94.0,1.7,0,0,0.1,0,0
1993-01-07,11,1016.8,1020.6,2.5,3.0,2.6,7.4,97.0,2.2,0,0,0.11,0,0
1993-01-07,12,1014.9,1018.7,2.0,3.4,3.1,7.6,98.0,1.7,0,0,0.22,0,0
1993-01-07,13,1013.2,1017.0,0.5,4.3,4.0,8.1,98.0,1.4,0,0,0.28,0,0
1993-01-07,14,1013.7,1017.5,0,4.9,4.4,8.4,97.0,1.6,0,0,0.33,0,0
1993-01-07,15,1012.4,1016.2,0.0,5.3,4.4,8.4,94.0,0.7,0,0,0.26,0,0
1993-01-07,16,1011.7,1015.5,0.0,5.5,5.1,8.8,97.0,0.9,0,0,0.11,0,0
1993-01-07,17,1011.6,1015.4,0.0,5.6,5.2,8.8,97.0,1.3,0,0,0.02,0,0
1993-01-07,18,1011.0,1014.8,0.0,5.5,5.0,8.7,97.0,0.8,0,0,0.0,0,0
1993-01-07,19,1010.1,1013.9,0,5.6,5.4,9.0,99.0,1.3,0,0,0,0,0
1993-01-07,20,1008.7,1012.5,0,5.7,5.5,9.0,99.0,1.0,0,0,0,0,0
1993-01-07,21,1008.1,1011.9,0.0,5.9,5.7,9.2,99.0,0.7,0,0,0,0,0
1993-01-07,22,1006.1,1009.8,0.0,7.1,6.8,9.9,98.0,2.0,0,0,0,0,0
1993-01-07,23,1006.8,1010.5,0.0,6.7,6.4,9.6,98.0,4.6,0,0,0,0,0
1993-01-07,24,1005.2,1008.9,3.0,8.0,7.5,10.4,97.0,3.6,0,0,0,0,0
1993-01-08,1,1006.3,1010.0,0.5,7.8,7.2,10.2,96.0,2.1,0,0,0,0,0
1993-01-08,2,1007.0,1010.7,0.5,7.1,6.7,9.8,97.0,1.2,0,0,0,0,0
1993-01-08,3,1008.1,1011.8,0,6.8,6.5,9.7,98.0,2.1,0,0,0,0,0
1993-01-08,4,1009.0,1012.8,0,5.9,5.6,9.1,98.0,1.3,0,0,0,0,0
1993-01-08,5,1010.6,1014.4,0,6.1,5.7,9.2,97.0,1.6,0,0,0,0,0
1993-01-08,6,1012.0,1015.8,0,5.2,4.9,8.7,98.0,1.8,0,0,0,0,0
1993-01-08,7,1013.7,1017.5,0,5.1,4.9,8.7,99.0,2.0,0,0,0.01,0,0
1993-01-08,8,1015.3,1019.1,0,6.1,5.6,9.1,97.0,1.5,0,0.3,0.18,0,0
1993-01-08,9,1016.5,1020.3,0,8.6,4.9,8.7,78.0,1.4,0,0.8,0.71,0,0
1993-01-08,10,1017.4,1021.1,0,10.9,2.5,7.3,56.0,3.3,0,1.0,1.31,0,0
1993-01-08,11,1017.3,1021.0,0,11.8,0.4,6.3,45.0,5.9,0,1.0,1.7,0,0
1993-01-08,12,1015.7,1019.4,0,13.0,-1.3,5.6,37.0,6.2,0,1.0,1.86,0,0
1993-01-08,13,1015.6,1019.3,0,12.3,-4.7,4.3,30.0,8.0,0,1.0,1.83,0,0
1993-01-08,14,1016.7,1020.4,0,11.4,-5.9,3.9,29.0,7.3,0,1.0,1.57,0,0
1993-01-08,15,1018.0,1021.7,0,10.1,-6.5,3.8,30.0,7.3,0,1.0,1.11,0,0
1993-01-08,16,1018.4,1022.2,0,8.5,-6.9,3.7,33.0,7.5,0,1.0,0.55,0,0
1993-01-08,17,1019.1,1022.9,0,7.3,-8.2,3.3,32.0,8.3,0,0.3,0.08,0,0
1993-01-08,18,1019.7,1023.5,0,6.4,-7.9,3.4,35.0,9.4,0,0,0.0,0,0
1993-01-08,19,1020.8,1024.6,0,5.6,-7.7,3.4,38.0,6.3,0,0,0,0,0
1993-01-08,20,1022.2,1026.0,0,5.1,-7.6,3.5,39.0,5.3,0,0,0,0,0
1993-01-08,21,1022.7,1026.5,0,4.4,-7.2,3.6,43.0,3.3,0,0,0,0,0
1993-01-08,22,1023.1,1027.0,0,2.2,-6.9,3.7,51.0,1.6,0,0,0,0,0
1993-01-08,23,1023.5,1027.4,0,0.4,-6.6,3.7,59.0,1.4,0,0,0,0,0
1993-01-08,24,1023.2,1027.1,0,-1.0,-6.5,3.8,66.0,1.9,0,0,0,0,0
1993-01-09,1,1023.2,1027.1,0,1.2,-6.9,3.7,55.0,2.4,0,0,0,0,0
1993-01-09,2,1023.7,1027.6,0,0.0,-6.7,3.7,61.0,2.2,0,0,0,0,0
1993-01-09,3,1024.0,1027.9,0,1.6,-6.2,3.9,56.0,1.2,0,0,0,0,0
1993-01-09,4,1023.7,1027.6,0,2.1,-6.5,3.8,53.0,1.9,0,0,0,0,0
1993-01-09,5,1024.4,1028.3,0,1.5,-5.5,4.1,60.0,1.3,0,0,0,0,0
1993-01-09,6,1025.3,1029.2,0,1.3,-4.8,4.3,64.0,1.0,0,0,0,0,0
1993-01-09,7,1025.7,1029.6,0,0.8,-4.6,4.3,67.0,1.2,0,0,0.0,0,0
1993-01-09,8,1025.9,1029.8,0,2.0,-5.5,4.1,58.0,1.4,0,0,0.1,0,0
1993-01-09,9,1026.0,1029.9,0,2.8,-4.7,4.3,58.0,1.0,0,0,0.16,0,0
1993-01-09,10,1026.3,1030.2,0,2.7,-3.7,4.7,63.0,1.1,0,0,0.19,0,0
1993-01-09,11,1025.3,1029.2,0,3.5,-3.1,4.9,62.0,1.2,0,0,0.34,0,0
1993-01-09,12,1024.0,1027.8,0,3.7,-2.5,5.1,64.0,1.9,0,0,0.35,0,0
1993-01-09,13,1023.1,1026.9,0.0,4.4,-2.1,5.2,63.0,1.0,0,0,0.3,0,0
1993-01-09,14,1022.7,1026.5,0.0,4.3,-2.4,5.1,62.0,2.0,0,0,0.22,0,0
1993-01-09,15,1022.3,1026.1,0.0,3.9,-0.3,6.0,74.0,0.4,0,0,0.19,0,0
1993-01-09,16,1021.9,1025.7,0.0,3.4,1.0,6.6,84.0,2.6,0,0,0.1,0,0
1993-01-09,17,1022.1,1026.0,0.5,2.9,1.9,7.0,93.0,2.6,0,0,0.01,0,0
1993-01-09,18,1021.4,1025.3,1.5,1.8,1.1,6.6,95.0,2.0,0,0,0.0,0,0
1993-01-09,19,1020.9,1024.8,1.0,1.0,0.3,6.2,95.0,2.5,0,0,0,0,0
1993-01-09,20,1020.9,1024.8,0.5,1.3,0.8,6.5,96.0,3.2,0,0,0,0,0
1993-01-09,21,1019.4,1023.3,0.5,1.5,0.9,6.5,96.0,1.2,0,0,0,0,0
1993-01-09,22,1018.6,1022.5,0.0,1.8,1.3,6.7,97.0,1.7,0,0,0,0,0
1993-01-09,23,1017.4,1021.3,0,1.6,1.1,6.6,96.0,1.0,0,0,0,0,0
1993-01-09,24,1016.3,1020.2,0,0.8,0.3,6.2,96.0,2.2,0,0,0,0,0
1993-01-10,1,1014.9,1018.7,0,1.2,0.7,6.4,96.0,0.9,0,0,0,0,0
1993-01-10,2,1015.2,1019.0,0,1.5,1.1,6.6,97.0,1.5,0,0,0,0,0
1993-01-10,3,1014.6,1018.4,0,1.4,1.1,6.6,98.0,0.4,0,0,0,0,0
1993-01-10,4,1014.0,1017.8,0,1.3,0.9,6.5,97.0,0.6,0,0,0,0,0
1993-01-10,5,1013.8,1017.6,0,1.5,1.1,6.6,97.0,1.0,0,0,0,0,0
1993-01-10,6,1013.4,1017.2,0,1.6,1.2,6.7,97.0,0.9,0,0,0,0,0
1993-01-10,7,1013.7,1017.5,0,1.6,1.2,6.7,97.0,1.2,0,0,0.0,0,0
1993-01-10,8,1013.1,1016.9,0.0,2.1,1.6,6.9,96.0,0.4,0,0,0.07,0,0
1993-01-10,9,1012.9,1016.7,0.0,3.2,2.8,7.5,97.0,0.9,0,0,0.29,0.0,0
1993-01-10,10,1011.9,1015.7,0.0,4.0,3.4,7.8,96.0,1.0,0,0,0.49,0,0
1993-01-10,11,1010.1,1013.9,0.0,4.6,3.3,7.7,91.0,1.9,0,0,0.73,0,0
1993-01-10,12,1008.3,1012.1,0,5.4,2.9,7.5,84.0,2.0,0,0,0.82,0,0
1993-01-10,13,1007.8,1011.6,0,6.2,2.8,7.5,79.0,1.5,0,0,0.89,0,0
1993-01-10,14,1007.5,1011.2,0,6.4,3.0,7.6,79.0,1.4,0,0,0.54,0,0
1993-01-10,15,1007.2,1010.9,0,6.9,3.7,8.0,80.0,1.2,0,0,0.44,0,0
1993-01-10,16,1007.1,1010.8,0,6.7,3.4,7.8,79.0,0.7,0,0,0.29,0,0
1993-01-10,17,1007.1,1010.9,0,3.8,2.8,7.5,93.0,1.1,0,0,0.07,0,0
1993-01-10,18,1007.2,1011.0,0,2.5,1.8,7.0,95.0,0.8,0,0,0.0,0,0
1993-01-10,19,1007.5,1011.3,0,2.4,2.0,7.1,97.0,1.2,0,0,0,0,0
1993-01-10,20,1008.1,1011.9,0,2.3,1.9,7.0,97.0,1.9,0,0,0,0,0
1993-01-10,21,1008.3,1012.1,0,3.2,2.6,7.4,96.0,1.1,0,0,0,0,0
1993-01-10,22,1009.1,1012.9,0,3.9,3.4,7.8,97.0,1.8,0,0,0,0,0
1993-01-10,23,1009.3,1013.1,0,4.4,3.3,7.7,93.0,0.4,0,0,0,0,0
1993-01-10,24,1008.9,1012.7,0,4.2,3.5,7.9,95.0,0.1,0,0,0,0,0
1993-01-11,1,1009.1,1012.9,0,4.1,3.6,7.9,96.0,0.3,0,0,0,0,0
1993-01-11,2,1010.0,1013.8,0,3.9,3.4,7.8,97.0,1.3,0,0,0,0,0
1993-01-11,3,1009.9,1013.7,0.0,4.8,2.5,7.3,85.0,1.1,0,0,0,0,0
1993-01-11,4,1010.6,1014.4,0.0,5.0,0.5,6.3,73.0,1.7,0,0,0,0,0
1993-01-11,5,1010.5,1014.3,0.0,4.7,-0.2,6.0,70.0,2.4,0,0,0,0,0
1993-01-11,6,1011.3,1015.1,0,4.7,-1.9,5.3,62.0,2.6,0,0,0,0,0
1993-01-11,7,1012.1,1015.9,0,4.6,-3.1,4.9,57.0,2.4,0,0,0.0,0,0
1993-01-11,8,1012.7,1016.5,0,4.6,-3.0,4.9,58.0,2.6,0,0,0.07,0,0
1993-01-11,9,1013.6,1017.4,0,5.0,-3.0,4.9,56.0,1.6,0,0,0.18,0,0
1993-01-11,10,1014.0,1017.8,0,5.5,-3.2,4.8,53.0,1.7,0,0,0.25,0,0
1993-01-11,11,1013.8,1017.6,0,5.9,-3.7,4.7,50.0,1.9,0,0,0.35,0,0
1993-01-11,12,1013.0,1016.8,0,6.2,-4.3,4.4,47.0,1.7,0,0,0.35,0,0
1993-01-11,13,1012.7,1016.5,0,6.2,-2.9,4.9,52.0,1.6,0,0,0.38,0,0
1993-01-11,14,1012.3,1016.1,0,5.9,-2.2,5.2,56.0,1.5,0,0,0.17,0,0
1993-01-11,15,1012.6,1016.4,0,6.2,-1.7,5.4,57.0,1.5,0,0,0.21,0,0
1993-01-11,16,1013.3,1017.1,0,6.2,-1.3,5.6,59.0,0.9,0,0,0.14,0,0
1993-01-11,17,1013.9,1017.7,0,5.6,-1.0,5.7,62.0,1.5,0,0,0.03,0,0
1993-01-11,18,1014.2,1018.0,0,4.4,-0.4,5.9,71.0,1.1,0,0,0.0,0,0
